language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,taxonRank
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:4921c146a1187cfb285266e3dcf4dc7b,Hydrocotyle ranunculoides,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:54838cb38e1f9cecfe059593e32123e6,Ludwigia grandiflora,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:2854a8568656c31c950b2ee198a4aaf2,Ludwigia peploides,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:98fb8615055cc6d6e58dd5bba656f594,Myriophyllum aquaticum,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:701d040f80f720a60634ede2d563c8cc,Myriophyllum heterophyllum,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:0c23faf898d4a38a958864dd9722f92d,Lagarosiphon major,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:4612ba981762e7729ee775ea0f9fb57a,Cabomba caroliniana,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:6fb43445cb41bab620b5365d614d46b2,Heracleum mantegazzianum,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:aaa4bf314e99f24d73599f0608e6602a,Heracleum persicum,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:00bf4bcd0509e25730f73ad66bc82c2e,Heracleum sosnowskyi,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:bbf57991e39ed609b78e5d565d54e791,Impatiens glandulifera,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:eebfdcf8e4d628954189e69240723ab7,Lysichiton americanus,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:ad6ef633d9bc18930d8894c8e33e9f3a,Procambarus clarkii,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:0ee766ce27cceadb968c628051a173e6,Faxonius virilis,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:de7320ca63664be077e4cc666cef44d1,Procambarus virginalis,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:9cb6039b5c56d1d4a61ff6a409bc7671,Egeria densa,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,Aponogeton distachyos,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:7b843a153385f2dd615bb0fbbd3275b0,Pontederia cordata,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:22d67081268100791b4d829409fa17fa,Crassula helmsii,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:72f67670de31c81564744eaa4411aa8d,Petasites japonicus,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:cc409919c1cc8c8b7b9c548321d53402,Zizania latifolia,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:e7707384fdc3348d50953fcb6994123a,Erythranthe guttata,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:eacc7e68568cb194281e03109e3f881d,Houttuynia cordata,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:509dce8d0af1d61c30ebc7cbca9b7327,Saururus cernuus,Plantae,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:8d33f6ebfbcdbf5a7ba38211853bc07c,Procambarus acutus,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:45879ab97f046fe2fb75fa4d9ab54665,Faxonius rusticus,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:b9379f3fa97e8033620d69c79372e63c,Faxonius immunis,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:effc3f0be85335b18eb1ccaeb314ab79,Faxonius juvenilis,Animalia,species
en,https://creativecommons.org/publicdomain/zero/1.0/,INBO,https://doi.org/10.15468/p4ugqr,INBO,Checklist of LIFE RIPARIAS target species,riparias-target-list:taxon:50312d36e99ebf5b3bf236e396f2cd10,Cherax destructor,Animalia,species
